   0.2 110.970 |########################################
   0.4  62.908 |########################################
   0.6   0.526 |#
   0.8   0.229 |
   1.0   0.078 |
   1.2   0.515 |#
   1.4   0.075 |
   1.6   0.075 |
   1.8   0.047 |
   2.0   0.034 |
   2.2   0.012 |
   2.4   0.007 |
   2.6   0.004 |
   2.8   0.004 |
   3.0   0.004 |
   3.2   0.003 |
   3.4   0.003 |
   3.6   0.560 |#
   3.8   0.003 |
   4.0   0.490 |
   4.2   0.003 |
   4.4   0.155 |
   4.6   0.003 |
   4.8   0.239 |
   5.0   0.004 |
   5.2   0.186 |
   5.4   0.009 |
   5.6   0.003 |
   5.8   0.067 |
   6.0   0.001 |
   6.2   0.001 |
   6.4   0.000 |
   6.6   0.003 |
   6.8  11.792 |#######################
   7.0  84.463 |########################################
   7.2   0.306 |
   7.4   5.850 |###########
   7.6   5.349 |##########
   7.8   0.014 |
   8.0   0.010 |
   8.2   0.010 |
   8.4   0.005 |
   8.6   0.008 |
   8.8   0.004 |
   9.0   0.005 |
   9.2  36.104 |########################################
   9.4  65.859 |########################################
   9.6   0.924 |#
   9.8   0.088 |
  10.0   0.034 |
  10.2   0.084 |
  10.4   1.008 |##
  10.6   0.025 |
  10.8   0.006 |
  11.0   0.005 |
  11.2   0.029 |
  11.4   0.392 |
  11.6   0.040 |
  11.8   0.003 |
  12.0   0.002 |
  12.2   0.016 |
  12.4   0.002 |
  12.6   0.209 |
  12.8   0.083 |
  13.0   0.008 |
  13.2   0.001 |
  13.4   0.038 |
  13.6   0.007 |
  13.8   0.020 |
  14.0   0.002 |
  14.2   0.002 |
  14.4   0.002 |
  14.6   0.001 |
  14.8   0.006 |
  15.0   0.002 |
  15.2   0.004 |
  15.4   0.875 |#
  15.6   0.084 |
  15.8   0.014 |
  16.0   0.650 |#
  16.2   0.003 |
  16.4   0.003 |
  16.6   0.002 |
  16.8   0.016 |
  17.0   0.135 |
  17.2   0.004 |
  17.4   0.004 |
  17.6   0.007 |
  17.8   0.023 |
  18.0   0.088 |
  18.2   0.113 |
  18.4   0.049 |
  18.6   0.005 |
  18.8   0.005 |
  19.0   0.060 |
  19.2   0.010 |
  19.4   1.311 |##
  19.6   1.477 |##
  19.8   2.411 |####
  20.0   0.003 |
  20.2   0.001 |
  20.4   0.816 |#
  20.6   0.817 |#
  20.8   0.030 |
  21.0   0.583 |#
  21.2   0.800 |#
  21.4   1.217 |##
  21.6   0.786 |#
  21.8   0.012 |
  22.0   0.006 |
  22.2   0.005 |
  22.4   0.004 |
  22.6   0.004 |
  22.8   0.038 |
  23.0   0.042 |
  23.2   0.060 |
  23.4   0.063 |
  23.6   0.123 |
  23.8   0.054 |
  24.0   0.056 |
  24.2   0.023 |
  24.4   0.031 |
  24.6   0.029 |
  24.8   0.005 |
  25.0   0.020 |
  25.2   0.022 |
  25.4   0.023 |
  25.6   0.096 |
  25.8   0.058 |
  26.0   0.030 |
  26.2   0.006 |
  26.4   0.001 |
  26.6   0.095 |
  26.8   0.091 |
  27.0   0.304 |
  27.2   0.464 |
  27.4   0.345 |
  27.6   1.159 |##
  27.8   1.659 |###
  28.0   0.586 |#
  28.2   0.870 |#
  28.4   0.526 |#
  28.6   0.472 |
  28.8   0.195 |
  29.0   0.043 |
  29.2   0.015 |
  29.4   0.002 |
  29.6   0.001 |
  29.8   0.001 |
  30.0   0.001 |
  30.2   0.004 |
  30.4  42.776 |########################################
  30.6 106.011 |########################################
