   0.2 110.970 |########################################
   0.4  65.000 |########################################
   0.6   2.409 |####
   0.8   0.058 |
   1.0   0.155 |
   1.2   0.005 |
   1.4   0.004 |
   1.6   0.468 |
   1.8   0.004 |
   2.0   0.003 |
   2.2   0.002 |
   2.4   0.002 |
   2.6   0.002 |
   2.8   0.002 |
   3.0   0.002 |
   3.2   0.002 |
   3.4   0.002 |
   3.6   0.002 |
   3.8   0.002 |
   4.0   0.002 |
   4.2   0.002 |
   4.4   0.808 |#
   4.6   0.004 |
   4.8   0.002 |
   5.0   0.001 |
   5.2   0.069 |
   5.4   0.009 |
   5.6   0.003 |
   5.8   0.840 |#
   6.0   0.002 |
   6.2   0.001 |
   6.4   0.004 |
   6.6   0.007 |
   6.8   0.004 |
   7.0   0.001 |
   7.2   0.002 |
   7.4   0.773 |#
   7.6   0.002 |
   7.8   0.001 |
   8.0   0.002 |
   8.2   0.002 |
   8.4   0.053 |
   8.6   0.003 |
   8.8   0.001 |
   9.0   1.196 |##
   9.2   0.001 |
   9.4   0.003 |
   9.6   0.001 |
   9.8   0.003 |
  10.0   0.002 |
  10.2   0.064 |
  10.4   0.524 |#
  10.6   0.011 |
  10.8   0.628 |#
  11.0   0.055 |
  11.2   0.006 |
  11.4   0.005 |
  11.6   0.004 |
  11.8   0.020 |
  12.0   0.022 |
  12.2  55.697 |########################################
  12.4  42.468 |########################################
  12.6   0.566 |#
  12.8   0.161 |
  13.0   0.105 |
  13.2   0.843 |#
  13.4   0.162 |
  13.6   0.047 |
  13.8   0.081 |
  14.0   0.066 |
  14.2   0.014 |
  14.4   0.429 |
  14.6  80.161 |########################################
  14.8   0.408 |
  15.0   0.089 |
  15.2   0.013 |
  15.4   0.128 |
  15.6   0.093 |
  15.8   0.003 |
  16.0   0.020 |
  16.2   0.002 |
  16.4   0.013 |
  16.6   0.058 |
  16.8   0.030 |
  17.0   0.007 |
  17.2   0.010 |
  17.4   0.041 |
  17.6   0.001 |
  17.8  34.607 |########################################
  18.0  57.417 |########################################
  18.2   0.191 |
  18.4   0.218 |
  18.6   1.897 |###
  18.8   0.377 |
  19.0   0.077 |
  19.2   0.771 |#
  19.4   0.200 |
  19.6   0.044 |
  19.8   0.053 |
  20.0   0.006 |
  20.2   0.050 |
  20.4   1.250 |##
  20.6  79.487 |########################################
  20.8   1.008 |##
  21.0   0.078 |
  21.2   0.082 |
  21.4   0.029 |
  21.6   0.041 |
  21.8   0.044 |
  22.0   0.035 |
  22.2   0.035 |
  22.4   0.045 |
  22.6   0.006 |
  22.8   0.038 |
  23.0   0.022 |
  23.2   0.075 |
  23.4   0.025 |
  23.6   0.026 |
  23.8   3.395 |######
  24.0   0.016 |
  24.2   0.035 |
  24.4   0.064 |
  24.6   0.324 |
  24.8   0.090 |
  25.0   0.070 |
  25.2   0.000 |
  25.4 105.903 |########################################
