   0.2 110.970 |########################################
   0.4  63.064 |########################################
   0.6   0.619 |#
   0.8   0.221 |
   1.0   0.101 |
   1.2   0.080 |
   1.4   0.508 |#
   1.6   0.049 |
   1.8   0.061 |
   2.0   0.051 |
   2.2   0.017 |
   2.4   0.015 |
   2.6   0.011 |
   2.8   0.013 |
   3.0   0.010 |
   3.2   0.010 |
   3.4   0.009 |
   3.6   0.009 |
   3.8   1.215 |##
   4.0   0.036 |
   4.2   0.004 |
   4.4   0.004 |
   4.6   0.011 |
   4.8   0.009 |
   5.0   0.011 |
   5.2   0.113 |
   5.4   0.047 |
   5.6   0.046 |
   5.8   0.128 |
   6.0   0.130 |
   6.2   0.256 |
   6.4   0.195 |
   6.6   0.356 |
   6.8   0.238 |
   7.0   0.215 |
   7.2   0.194 |
   7.4   0.247 |
   7.6   0.178 |
   7.8   0.125 |
   8.0   0.058 |
   8.2   0.015 |
   8.4   0.058 |
   8.6   0.001 |
   8.8   0.006 |
   9.0   0.001 |
   9.2   0.001 |
   9.4   0.003 |
   9.6   0.043 |
   9.8   0.007 |
  10.0   0.014 |
  10.2   0.065 |
  10.4   0.037 |
  10.6   0.019 |
  10.8   1.093 |##
  11.0   0.019 |
  11.2   0.016 |
  11.4   0.029 |
  11.6   0.043 |
  11.8   0.072 |
  12.0   0.104 |
  12.2   0.083 |
  12.4   0.101 |
  12.6   0.063 |
  12.8   0.285 |
  13.0   0.005 |
  13.2   0.002 |
  13.4   0.007 |
  13.6   0.001 |
  13.8   0.010 |
  14.0   0.001 |
  14.2   0.000 |
  14.4   0.033 |
  14.6   0.001 |
  14.8   0.038 |
  15.0   0.000 |
  15.2   0.001 |
  15.4   0.068 |
  15.6   0.051 |
  15.8   0.008 |
  16.0   0.002 |
  16.2   0.001 |
  16.4   0.000 |
  16.6   0.052 |
  16.8   0.001 |
  17.0   0.015 |
  17.2   0.003 |
  17.4   0.037 |
  17.6   0.005 |
  17.8   0.001 |
  18.0   0.032 |
  18.2   0.002 |
  18.4   0.008 |
  18.6   0.000 |
  18.8   0.000 |
  19.0   0.000 |
  19.2   0.000 |
  19.4   0.000 |
  19.6   0.000 |
  19.8   0.000 |
  20.0   1.044 |##
  20.2   0.003 |
  20.4   0.912 |#
  20.6   0.904 |#
  20.8   0.048 |
  21.0   0.003 |
  21.2   0.002 |
  21.4   0.001 |
  21.6   0.002 |
  21.8   0.001 |
  22.0   0.003 |
  22.2   0.000 |
  22.4 107.028 |########################################
