   0.2 110.970 |########################################
   0.4  62.755 |########################################
   0.6   0.521 |#
   0.8   0.209 |
   1.0   0.073 |
   1.2   0.517 |#
   1.4   0.069 |
   1.6   0.073 |
   1.8   0.045 |
   2.0   0.031 |
   2.2   0.007 |
   2.4   0.006 |
   2.6   0.005 |
   2.8   0.005 |
   3.0   0.004 |
   3.2   0.004 |
   3.4   0.004 |
   3.6   0.205 |
   3.8   0.011 |
   4.0   0.012 |
   4.2   0.017 |
   4.4   0.012 |
   4.6   0.015 |
   4.8   0.013 |
   5.0   0.011 |
   5.2   0.092 |
   5.4   0.029 |
   5.6   0.011 |
   5.8   0.009 |
   6.0   0.009 |
   6.2   0.011 |
   6.4   0.010 |
   6.6   0.013 |
   6.8   0.004 |
   7.0   0.012 |
   7.2   0.007 |
   7.4   0.012 |
   7.6   0.006 |
   7.8   0.013 |
   8.0   0.006 |
   8.2   0.007 |
   8.4   0.056 |
   8.6   0.006 |
   8.8   0.014 |
   9.0   0.006 |
   9.2   0.015 |
   9.4   0.008 |
   9.6   0.012 |
   9.8   0.010 |
  10.0   0.012 |
  10.2   0.024 |
  10.4   0.019 |
  10.6   0.015 |
  10.8   0.018 |
  11.0   0.004 |
  11.2   0.005 |
  11.4   0.002 |
  11.6   1.402 |##
  11.8   0.011 |
  12.0   0.001 |
  12.2   0.008 |
  12.4   0.003 |
  12.6   0.022 |
  12.8   0.005 |
  13.0   0.003 |
  13.2   0.001 |
  13.4   0.007 |
  13.6   0.001 |
  13.8   0.004 |
  14.0   0.005 |
  14.2   0.003 |
  14.4   0.002 |
  14.6  12.099 |########################
  14.8   0.004 |
  15.0   0.002 |
  15.2   0.001 |
  15.4   0.043 |
  15.6   0.030 |
  15.8   0.004 |
  16.0   0.005 |
  16.2   0.002 |
  16.4   0.003 |
  16.6   0.043 |
  16.8   0.001 |
  17.0   0.000 |
  17.2   0.268 |
  17.4   0.003 |
  17.6   0.005 |
  17.8   0.000 |
  18.0   0.000 |
  18.2   0.003 |
  18.4   0.000 |
  18.6   0.000 |
  18.8   0.002 |
  19.0   0.000 |
  19.2   0.002 |
  19.4   0.000 |
  19.6   0.000 |
  19.8   0.000 |
  20.0   0.440 |
  20.2   0.003 |
  20.4   0.859 |#
  20.6   0.857 |#
  20.8   0.050 |
  21.0   0.002 |
  21.2   0.001 |
  21.4   0.003 |
  21.6   0.001 |
  21.8   0.002 |
  22.0   0.005 |
  22.2   0.006 |
  22.4   0.004 |
  22.6   0.001 |
  22.8   0.418 |
  23.0   0.010 |
  23.2   0.002 |
  23.4   0.004 |
  23.6   0.001 |
  23.8   0.001 |
  24.0   0.003 |
  24.2   0.001 |
  24.4   0.001 |
  24.6   0.003 |
  24.8   0.001 |
  25.0   0.051 |
  25.2   0.000 |
  25.4   0.000 |
  25.6   0.330 |
  25.8   0.030 |
  26.0   0.007 |
  26.2   0.006 |
  26.4   0.001 |
  26.6   0.008 |
  26.8   0.002 |
  27.0   0.003 |
  27.2   0.004 |
  27.4   0.002 |
  27.6   0.001 |
  27.8   0.004 |
  28.0   0.001 |
  28.2   0.001 |
  28.4   0.001 |
  28.6   2.169 |####
  28.8   0.014 |
  29.0   0.002 |
  29.2   0.002 |
  29.4   0.003 |
  29.6   0.002 |
  29.8   0.003 |
  30.0   0.001 |
  30.2   0.001 |
  30.4   0.003 |
  30.6   0.001 |
  30.8   0.063 |
  31.0   0.049 |
  31.2   0.004 |
  31.4   0.422 |
  31.6   0.003 |
  31.8   0.001 |
  32.0   0.003 |
  32.2   0.004 |
  32.4   0.010 |
  32.6   0.003 |
  32.8   9.175 |##################
  33.0   0.041 |
  33.2   0.003 |
  33.4   0.059 |
  33.6   0.001 |
  33.8   0.006 |
  34.0   0.006 |
  34.2   0.004 |
  34.4   0.004 |
  34.6   0.002 |
  34.8 103.401 |########################################
